ID,Manufacturer,Model,Capacity,Carrier,Brand New Price,Like New Price,Good Price,Minor Damage Price,Damaged Price,Deeplink
548-13-71-1,Apple,Series 7 GPS,41mm,Aluminium,,55.0,30.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
548-14-71-1,Apple,Series 7 GPS,41mm,Stainless Steel,,60.0,35.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
548-217-71-1,Apple,Series 7 GPS,41mm,Titanium,,65.0,40.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
548-13-72-1,Apple,Series 7 GPS,45mm,Aluminium,,60.0,25.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
548-14-72-1,Apple,Series 7 GPS,45mm,Stainless Steel,,70.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
548-217-72-1,Apple,Series 7 GPS,45mm,Titanium,,75.0,50.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps
549-13-71-1,Apple,Series 7 GPS + Cellular,41mm,Aluminium,,65.0,25.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
549-14-71-1,Apple,Series 7 GPS + Cellular,41mm,Stainless Steel,,70.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
549-217-71-1,Apple,Series 7 GPS + Cellular,41mm,Titanium,,55.0,30.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
549-13-72-1,Apple,Series 7 GPS + Cellular,45mm,Aluminium,,70.0,30.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
549-14-72-1,Apple,Series 7 GPS + Cellular,45mm,Stainless Steel,,80.0,55.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
549-217-72-1,Apple,Series 7 GPS + Cellular,45mm,Titanium,,80.0,55.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-7-gps-cellular
3736-13-30-6,Apple,Watch SE GPS 2nd Gen,40mm,Aluminium,40.0,20.0,10.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-2nd-gen
3736-13-31-6,Apple,Watch SE GPS 2nd Gen,44mm,Aluminium,45.0,25.0,15.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-2nd-gen
3737-13-30-6,Apple,Watch SE GPS + Cellular 2nd Gen,40mm,Aluminium,45.0,25.0,15.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-2nd-gen
3737-13-31-6,Apple,Watch SE GPS + Cellular 2nd Gen,44mm,Aluminium,50.0,30.0,20.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-2nd-gen
3738-13-30-6,Apple,Watch SE GPS 3rd Gen,40mm,Aluminium,90.0,60.0,40.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-3rd-gen
3738-13-31-6,Apple,Watch SE GPS 3rd Gen,44mm,Aluminium,100.0,70.0,50.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-3rd-gen
3739-13-30-6,Apple,Watch SE GPS + Cellular 3rd Gen,40mm,Aluminium,100.0,70.0,50.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-3rd-gen
3739-13-31-6,Apple,Watch SE GPS + Cellular 3rd Gen,44mm,Aluminium,110.0,80.0,60.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/watch-se-gps-plus-cellular-3rd-gen
1147-13-71-1,Apple,Series 8 GPS,41mm,Aluminium,,50.0,35.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps
1147-14-71-1,Apple,Series 8 GPS,41mm,Stainless Steel,,60.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps
1147-13-72-1,Apple,Series 8 GPS,45mm,Aluminium,,60.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps
1147-14-72-1,Apple,Series 8 GPS,45mm,Stainless Steel,,80.0,55.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps
1148-13-71-1,Apple,Series 8 GPS + Cellular,41mm,Aluminium,,60.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps-cellular
1148-14-71-1,Apple,Series 8 GPS + Cellular,41mm,Stainless Steel,,70.0,45.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps-cellular
1148-13-72-1,Apple,Series 8 GPS + Cellular,45mm,Aluminium,,70.0,55.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps-cellular
1148-14-72-1,Apple,Series 8 GPS + Cellular,45mm,Stainless Steel,,90.0,65.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-8-gps-cellular
1149-217-282-6,Apple,Ultra,49mm,Titanium,175.0,125.0,80.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/ultra
1312-13-71-6,Apple,Series 9 GPS,41mm,Aluminium,110.0,80.0,55.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps
1312-13-72-6,Apple,Series 9 GPS,45mm,Aluminium,120.0,90.0,65.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps
1313-13-71-6,Apple,Series 9 GPS + Cellular,41mm,Aluminium,125.0,95.0,70.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps-cellular
1313-14-71-6,Apple,Series 9 GPS + Cellular,41mm,Stainless Steel,135.0,105.0,65.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps-cellular
1313-13-72-6,Apple,Series 9 GPS + Cellular,45mm,Aluminium,135.0,105.0,80.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps-cellular
1313-14-72-6,Apple,Series 9 GPS + Cellular,45mm,Stainless Steel,145.0,115.0,75.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-9-gps-cellular
1568-13-21-6,Apple,Series 10 GPS,42mm,Aluminium,140.0,100.0,60.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps
1568-13-73-6,Apple,Series 10 GPS,46mm,Aluminium,150.0,110.0,70.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps
1569-13-21-6,Apple,Series 10 GPS + Cellular,42mm,Aluminium,150.0,110.0,70.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
1569-217-21-6,Apple,Series 10 GPS + Cellular,42mm,Titanium,215.0,165.0,120.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
1569-13-73-6,Apple,Series 10 GPS + Cellular,46mm,Aluminium,160.0,120.0,80.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
1569-217-73-6,Apple,Series 10 GPS + Cellular,46mm,Titanium,225.0,175.0,130.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-10-gps-cellular
3740-13-21-6,Apple,Series 11 GPS,42mm,Aluminium,200.0,150.0,120.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps
3740-13-73-6,Apple,Series 11 GPS,46mm,Aluminium,210.0,160.0,130.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps
3741-13-21-6,Apple,Series 11 GPS + Cellular,42mm,Aluminium,220.0,170.0,140.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
3741-217-21-6,Apple,Series 11 GPS + Cellular,42mm,Titanium,360.0,310.0,270.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
3741-13-73-6,Apple,Series 11 GPS + Cellular,46mm,Aluminium,230.0,180.0,150.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
3741-217-73-6,Apple,Series 11 GPS + Cellular,46mm,Titanium,375.0,325.0,285.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/series-11-gps-plus-cellular
1314-217-282-6,Apple,Ultra 2,49mm,Titanium,260.0,210.0,160.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/ultra-2
3742-217-282-6,Apple,Ultra 3,49mm,Titanium,390.0,340.0,275.0,,,https://www.ocbuyback.com/sell/smartwatch/apple/ultra-3
497-11-8-1,Apple,iPad Air 4th Gen (2020),64GB,Wi-Fi,,180.0,150.0,40.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
497-12-8-1,Apple,iPad Air 4th Gen (2020),64GB,Wi-Fi + Cellular,,190.0,160.0,45.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
497-11-10-1,Apple,iPad Air 4th Gen (2020),256GB,Wi-Fi,,210.0,180.0,45.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
497-12-10-1,Apple,iPad Air 4th Gen (2020),256GB,Wi-Fi + Cellular,,220.0,190.0,50.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-4th-gen-2020
656-11-8-6,Apple,iPad Air 5th Gen (2022),64GB,Wi-Fi,235.0,205.0,170.0,75.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
656-12-8-6,Apple,iPad Air 5th Gen (2022),64GB,Wi-Fi + Cellular,250.0,220.0,185.0,80.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
656-11-10-6,Apple,iPad Air 5th Gen (2022),256GB,Wi-Fi,275.0,245.0,210.0,80.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
656-12-10-6,Apple,iPad Air 5th Gen (2022),256GB,Wi-Fi + Cellular,290.0,260.0,225.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-air-5th-gen-2022
287-11-8-1,Apple,iPad Mini 5th Gen (2019),64GB,Wi-Fi,,85.0,75.0,15.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
287-12-8-1,Apple,iPad Mini 5th Gen (2019),64GB,Wi-Fi + Cellular,,95.0,85.0,20.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
287-11-10-1,Apple,iPad Mini 5th Gen (2019),256GB,Wi-Fi,,125.0,105.0,20.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
287-12-10-1,Apple,iPad Mini 5th Gen (2019),256GB,Wi-Fi + Cellular,,135.0,115.0,25.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-5th-gen-2019
532-11-8-6,Apple,iPad Mini 6th Gen (2021),64GB,Wi-Fi,195.0,175.0,160.0,50.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
532-12-8-6,Apple,iPad Mini 6th Gen (2021),64GB,Wi-Fi + Cellular,220.0,200.0,185.0,60.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
532-11-10-6,Apple,iPad Mini 6th Gen (2021),256GB,Wi-Fi,245.0,225.0,210.0,60.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
532-12-10-6,Apple,iPad Mini 6th Gen (2021),256GB,Wi-Fi + Cellular,270.0,250.0,235.0,70.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-6th-gen-2021
1570-11-9-6,Apple,iPad Mini 7th Gen (2024),128GB,Wi-Fi,290.0,260.0,240.0,65.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
1570-12-9-6,Apple,iPad Mini 7th Gen (2024),128GB,Wi-Fi + Cellular,315.0,285.0,265.0,75.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
1570-11-10-6,Apple,iPad Mini 7th Gen (2024),256GB,Wi-Fi,330.0,300.0,280.0,75.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
1570-12-10-6,Apple,iPad Mini 7th Gen (2024),256GB,Wi-Fi + Cellular,355.0,325.0,305.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
1570-11-25-6,Apple,iPad Mini 7th Gen (2024),512GB,Wi-Fi,390.0,360.0,340.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
1570-12-25-6,Apple,iPad Mini 7th Gen (2024),512GB,Wi-Fi + Cellular,415.0,385.0,365.0,95.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-mini-7th-gen-2024
251-11-8-1,Apple,iPad Pro 12.9 3rd Gen (2018),64GB,Wi-Fi,,245.0,200.0,60.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-12-8-1,Apple,iPad Pro 12.9 3rd Gen (2018),64GB,Wi-Fi + Cellular,,265.0,220.0,70.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-11-10-1,Apple,iPad Pro 12.9 3rd Gen (2018),256GB,Wi-Fi,,270.0,225.0,70.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-12-10-1,Apple,iPad Pro 12.9 3rd Gen (2018),256GB,Wi-Fi + Cellular,,290.0,245.0,80.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-11-25-1,Apple,iPad Pro 12.9 3rd Gen (2018),512GB,Wi-Fi,,285.0,240.0,75.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-12-25-1,Apple,iPad Pro 12.9 3rd Gen (2018),512GB,Wi-Fi + Cellular,,305.0,260.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-11-26-1,Apple,iPad Pro 12.9 3rd Gen (2018),1TB,Wi-Fi,,305.0,260.0,80.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
251-12-26-1,Apple,iPad Pro 12.9 3rd Gen (2018),1TB,Wi-Fi + Cellular,,325.0,280.0,90.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-3rd-gen-2018
454-11-9-1,Apple,iPad Pro 12.9 4th Gen (2020),128GB,Wi-Fi,,280.0,230.0,60.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-12-9-1,Apple,iPad Pro 12.9 4th Gen (2020),128GB,Wi-Fi + Cellular,,320.0,270.0,63.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-11-10-1,Apple,iPad Pro 12.9 4th Gen (2020),256GB,Wi-Fi,,290.0,240.0,63.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-12-10-1,Apple,iPad Pro 12.9 4th Gen (2020),256GB,Wi-Fi + Cellular,,330.0,280.0,66.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-11-25-1,Apple,iPad Pro 12.9 4th Gen (2020),512GB,Wi-Fi,,295.0,245.0,65.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-12-25-1,Apple,iPad Pro 12.9 4th Gen (2020),512GB,Wi-Fi + Cellular,,335.0,285.0,68.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-11-26-1,Apple,iPad Pro 12.9 4th Gen (2020),1TB,Wi-Fi,,310.0,260.0,67.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
454-12-26-1,Apple,iPad Pro 12.9 4th Gen (2020),1TB,Wi-Fi + Cellular,,350.0,300.0,70.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-4th-gen-2020
503-11-9-6,Apple,iPad Pro 12.9 5th Gen (2021),128GB,Wi-Fi,380.0,330.0,295.0,75.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-12-9-6,Apple,iPad Pro 12.9 5th Gen (2021),128GB,Wi-Fi + Cellular,395.0,345.0,310.0,100.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-11-10-6,Apple,iPad Pro 12.9 5th Gen (2021),256GB,Wi-Fi,400.0,350.0,315.0,100.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-12-10-6,Apple,iPad Pro 12.9 5th Gen (2021),256GB,Wi-Fi + Cellular,415.0,365.0,330.0,125.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-11-25-6,Apple,iPad Pro 12.9 5th Gen (2021),512GB,Wi-Fi,430.0,380.0,345.0,110.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-12-25-6,Apple,iPad Pro 12.9 5th Gen (2021),512GB,Wi-Fi + Cellular,445.0,395.0,360.0,135.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-11-26-6,Apple,iPad Pro 12.9 5th Gen (2021),1TB,Wi-Fi,480.0,430.0,395.0,125.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-12-26-6,Apple,iPad Pro 12.9 5th Gen (2021),1TB,Wi-Fi + Cellular,495.0,445.0,410.0,150.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-11-36-6,Apple,iPad Pro 12.9 5th Gen (2021),2TB,Wi-Fi,530.0,480.0,445.0,150.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
503-12-36-6,Apple,iPad Pro 12.9 5th Gen (2021),2TB,Wi-Fi + Cellular,545.0,495.0,460.0,175.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-5th-gen-2021
1146-11-9-6,Apple,iPad Pro 12.9 6th Gen (2022),128GB,Wi-Fi,440.0,390.0,300.0,125.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-12-9-6,Apple,iPad Pro 12.9 6th Gen (2022),128GB,Wi-Fi + Cellular,455.0,405.0,315.0,150.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-11-10-6,Apple,iPad Pro 12.9 6th Gen (2022),256GB,Wi-Fi,480.0,430.0,340.0,135.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-12-10-6,Apple,iPad Pro 12.9 6th Gen (2022),256GB,Wi-Fi + Cellular,495.0,445.0,355.0,160.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-11-25-6,Apple,iPad Pro 12.9 6th Gen (2022),512GB,Wi-Fi,500.0,450.0,360.0,140.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-12-25-6,Apple,iPad Pro 12.9 6th Gen (2022),512GB,Wi-Fi + Cellular,515.0,465.0,375.0,165.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-11-26-6,Apple,iPad Pro 12.9 6th Gen (2022),1TB,Wi-Fi,555.0,505.0,415.0,160.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-12-26-6,Apple,iPad Pro 12.9 6th Gen (2022),1TB,Wi-Fi + Cellular,570.0,520.0,430.0,185.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-11-36-6,Apple,iPad Pro 12.9 6th Gen (2022),2TB,Wi-Fi,600.0,550.0,460.0,175.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
1146-12-36-6,Apple,iPad Pro 12.9 6th Gen (2022),2TB,Wi-Fi + Cellular,615.0,565.0,475.0,200.0,30.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-12-9-6th-gen-2022
464-11-6-1,Apple,iPad 10.2 8th Gen (2020),32GB,Wi-Fi,,50.0,40.0,10.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
464-12-6-1,Apple,iPad 10.2 8th Gen (2020),32GB,Wi-Fi + Cellular,,60.0,50.0,10.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
464-11-9-1,Apple,iPad 10.2 8th Gen (2020),128GB,Wi-Fi,,60.0,50.0,10.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
464-12-9-1,Apple,iPad 10.2 8th Gen (2020),128GB,Wi-Fi + Cellular,,75.0,60.0,10.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-8th-gen-2020
534-11-8-6,Apple,iPad 10.2 9th Gen (2021),64GB,Wi-Fi,105.0,75.0,65.0,10.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
534-12-8-6,Apple,iPad 10.2 9th Gen (2021),64GB,Wi-Fi + Cellular,110.0,80.0,70.0,14.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
534-11-10-6,Apple,iPad 10.2 9th Gen (2021),256GB,Wi-Fi,120.0,90.0,80.0,14.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
534-12-10-6,Apple,iPad 10.2 9th Gen (2021),256GB,Wi-Fi + Cellular,125.0,95.0,85.0,18.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-2-9th-gen-2021
250-11-8-1,Apple,iPad Pro 11 1st Gen (2018),64GB,Wi-Fi,,170.0,140.0,30.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-12-8-1,Apple,iPad Pro 11 1st Gen (2018),64GB,Wi-Fi + Cellular,,185.0,155.0,35.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-11-10-1,Apple,iPad Pro 11 1st Gen (2018),256GB,Wi-Fi,,205.0,175.0,35.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-12-10-1,Apple,iPad Pro 11 1st Gen (2018),256GB,Wi-Fi + Cellular,,220.0,190.0,40.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-11-25-1,Apple,iPad Pro 11 1st Gen (2018),512GB,Wi-Fi,,230.0,205.0,37.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-12-25-1,Apple,iPad Pro 11 1st Gen (2018),512GB,Wi-Fi + Cellular,,245.0,220.0,42.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-11-26-1,Apple,iPad Pro 11 1st Gen (2018),1TB,Wi-Fi,,250.0,225.0,40.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
250-12-26-1,Apple,iPad Pro 11 1st Gen (2018),1TB,Wi-Fi + Cellular,,265.0,240.0,45.0,,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-1st-gen-2018
453-11-9-1,Apple,iPad Pro 11 2nd Gen (2020),128GB,Wi-Fi,,265.0,245.0,75.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-12-9-1,Apple,iPad Pro 11 2nd Gen (2020),128GB,Wi-Fi + Cellular,,275.0,255.0,80.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-11-10-1,Apple,iPad Pro 11 2nd Gen (2020),256GB,Wi-Fi,,275.0,255.0,80.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-12-10-1,Apple,iPad Pro 11 2nd Gen (2020),256GB,Wi-Fi + Cellular,,285.0,265.0,85.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-11-25-1,Apple,iPad Pro 11 2nd Gen (2020),512GB,Wi-Fi,,290.0,270.0,82.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-12-25-1,Apple,iPad Pro 11 2nd Gen (2020),512GB,Wi-Fi + Cellular,,300.0,280.0,87.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-11-26-1,Apple,iPad Pro 11 2nd Gen (2020),1TB,Wi-Fi,,310.0,290.0,87.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
453-12-26-1,Apple,iPad Pro 11 2nd Gen (2020),1TB,Wi-Fi + Cellular,,320.0,300.0,92.0,20.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-2nd-gen-2020
533-11-9-1,Apple,iPad Pro 11 3rd Gen (2021),128GB,Wi-Fi,,290.0,260.0,65.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-12-9-1,Apple,iPad Pro 11 3rd Gen (2021),128GB,Wi-Fi + Cellular,,320.0,290.0,75.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-11-10-1,Apple,iPad Pro 11 3rd Gen (2021),256GB,Wi-Fi,,310.0,280.0,65.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-12-10-1,Apple,iPad Pro 11 3rd Gen (2021),256GB,Wi-Fi + Cellular,,340.0,310.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-11-25-1,Apple,iPad Pro 11 3rd Gen (2021),512GB,Wi-Fi,,350.0,320.0,60.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-12-25-1,Apple,iPad Pro 11 3rd Gen (2021),512GB,Wi-Fi + Cellular,,380.0,350.0,100.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-11-26-1,Apple,iPad Pro 11 3rd Gen (2021),1TB,Wi-Fi,,390.0,360.0,65.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-12-26-1,Apple,iPad Pro 11 3rd Gen (2021),1TB,Wi-Fi + Cellular,,420.0,390.0,105.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-11-36-1,Apple,iPad Pro 11 3rd Gen (2021),2TB,Wi-Fi,,440.0,410.0,85.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
533-12-36-1,Apple,iPad Pro 11 3rd Gen (2021),2TB,Wi-Fi + Cellular,,470.0,440.0,125.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-pro-11-3rd-gen-2021
1144-11-8-6,Apple,iPad 10.9 10th Gen (2022),64GB,Wi-Fi,160.0,140.0,110.0,25.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
1144-12-8-6,Apple,iPad 10.9 10th Gen (2022),64GB,Wi-Fi + Cellular,190.0,170.0,140.0,35.0,10.0,https://www.ocbuyback.com/sell/tablet/apple/ipad-10-9-10th-gen-2022
